Latitude,Longitude,Comment,Depth,G&G-DO
1134.73264N,12229.35746E,1,0.451,5.72
1134.73264N,12229.35746E,1,0.454,5.72
1134.73264N,12229.35746E,1,0.459,5.719
1134.73264N,12229.35746E,1,0.462,5.718
1134.73264N,12229.35746E,1,0.464,5.712
1134.73264N,12229.35746E,1,0.465,5.716
1134.73264N,12229.35746E,1,0.469,5.717
1134.73264N,12229.35746E,1,0.472,5.715
1134.73264N,12229.35746E,1,0.474,5.713
1134.73264N,12229.35746E,1,0.478,5.713
1134.73264N,12229.35746E,1,0.482,5.708
1134.73264N,12229.35746E,1,0.485,5.713
1134.73264N,12229.35746E,1,0.485,5.713
1134.73264N,12229.35746E,1,0.487,5.71
1134.73264N,12229.35746E,1,0.488,5.712
1134.73264N,12229.35746E,1,0.489,5.716
1134.73264N,12229.35746E,1,0.489,5.712
1134.73264N,12229.35746E,1,0.49,5.713
1134.73264N,12229.35746E,1,0.492,5.717
1134.73264N,12229.35746E,1,0.495,5.714
1134.73264N,12229.35746E,1,0.497,5.712
1134.73264N,12229.35746E,1,0.506,5.712
1134.73264N,12229.35746E,1,0.513,5.715
1134.73264N,12229.35746E,1,0.519,5.721
1134.73264N,12229.35746E,1,0.526,5.714
1134.73264N,12229.35746E,1,0.531,5.709
1134.73264N,12229.35746E,1,0.534,5.716
1134.73264N,12229.35746E,1,0.538,5.714
1134.73264N,12229.35746E,1,0.541,5.713
1134.73264N,12229.35746E,1,0.546,5.712
1134.73264N,12229.35746E,1,0.552,5.711
1134.73264N,12229.35746E,1,0.556,5.714
1134.73264N,12229.35746E,1,0.56,5.711
1134.73264N,12229.35746E,1,0.562,5.711
1134.73264N,12229.35746E,1,0.564,5.713
1134.73264N,12229.35746E,1,0.566,5.714
1134.73264N,12229.35746E,1,0.568,5.716
1134.73264N,12229.35746E,1,0.571,5.716
1134.73264N,12229.35746E,1,0.574,5.709
1134.73264N,12229.35746E,1,0.575,5.707
1134.73264N,12229.35746E,1,0.579,5.71
1134.73264N,12229.35746E,1,0.58,5.707
