Latitude,Longitude,Comment,Turb. [FTU],Depth [m]
1134.73264,12229.35746,1,8.558,0.123
1134.73264,12229.35746,1,8.316,0.13
1134.73264,12229.35746,1,8.182,0.135
1134.73264,12229.35746,1,8.316,0.139
1134.73264,12229.35746,1,8.196,0.141
1134.73264,12229.35746,1,7.968,0.138
1134.73264,12229.35746,1,7.995,0.139
1134.73264,12229.35746,1,8.129,0.138
1134.73264,12229.35746,1,8.142,0.138
1134.73264,12229.35746,1,7.995,0.14
1134.73264,12229.35746,1,7.82,0.14
1134.73264,12229.35746,1,7.646,0.142
1134.73264,12229.35746,1,7.633,0.145
1134.73264,12229.35746,1,7.606,0.146
1134.73264,12229.35746,1,7.459,0.149
1134.73264,12229.35746,1,7.499,0.149
1134.73264,12229.35746,1,7.566,0.15
1134.73264,12229.35746,1,7.713,0.15
1134.73264,12229.35746,1,7.888,0.151
1134.73264,12229.35746,1,7.861,0.154
1134.73264,12229.35746,1,7.861,0.159
1134.73264,12229.35746,1,7.686,0.164
1134.73264,12229.35746,1,7.593,0.168
1134.73264,12229.35746,1,7.646,0.172
1134.73264,12229.35746,1,7.606,0.174
1134.73264,12229.35746,1,7.794,0.175
1134.73264,12229.35746,1,7.74,0.175
1134.73264,12229.35746,1,7.847,0.177
1134.73264,12229.35746,1,7.753,0.179
1134.73264,12229.35746,1,7.512,0.182
1134.73264,12229.35746,1,7.486,0.188
1134.73264,12229.35746,1,7.472,0.191
1134.73264,12229.35746,1,7.298,0.194
1134.73264,12229.35746,1,7.378,0.196
1134.73264,12229.35746,1,7.405,0.197
1134.73264,12229.35746,1,7.432,0.201
1134.73264,12229.35746,1,7.512,0.205
1134.73264,12229.35746,1,7.512,0.205
1134.73264,12229.35746,1,7.686,0.208
1134.73264,12229.35746,1,7.673,0.212
1134.73264,12229.35746,1,7.512,0.216
1134.73264,12229.35746,1,7.419,0.217
1134.73264,12229.35746,1,7.566,0.22
1134.73264,12229.35746,1,7.727,0.221
1134.73264,12229.35746,1,7.686,0.222
1134.73264,12229.35746,1,7.539,0.226
1134.73264,12229.35746,1,7.767,0.227
1134.73264,12229.35746,1,7.794,0.23
1134.73264,12229.35746,1,7.955,0.233
1134.73264,12229.35746,1,7.888,0.235
1134.73264,12229.35746,1,7.593,0.238
1134.73264,12229.35746,1,7.512,0.24
1134.73264,12229.35746,1,7.646,0.242
1134.73264,12229.35746,1,7.914,0.246
1134.73264,12229.35746,1,7.901,0.249
1134.73264,12229.35746,1,7.7,0.252
1134.73264,12229.35746,1,7.66,0.254
1134.73264,12229.35746,1,7.82,0.256
1134.73264,12229.35746,1,7.901,0.258
1134.73264,12229.35746,1,7.767,0.26
1134.73264,12229.35746,1,7.78,0.26
1134.73264,12229.35746,1,7.955,0.261
1134.73264,12229.35746,1,8.129,0.26
1134.73264,12229.35746,1,8.075,0.26
1134.73264,12229.35746,1,7.928,0.259
1134.73264,12229.35746,1,7.767,0.257
1134.73264,12229.35746,1,7.995,0.256
1134.73264,12229.35746,1,8.169,0.257
1134.73264,12229.35746,1,8.236,0.257
1134.73264,12229.35746,1,8.33,0.258
1134.73264,12229.35746,1,8.41,0.26
1134.73264,12229.35746,1,8.129,0.263
1134.73264,12229.35746,1,8.035,0.266
1134.73264,12229.35746,1,8.249,0.267
1134.73264,12229.35746,1,8.022,0.27
1134.73264,12229.35746,1,7.995,0.272
1134.73264,12229.35746,1,8.182,0.273
1134.73264,12229.35746,1,8.276,0.275
1134.73264,12229.35746,1,8.276,0.275
1134.73264,12229.35746,1,8.41,0.276
1134.73264,12229.35746,1,8.129,0.278
1134.73264,12229.35746,1,7.968,0.278
1134.73264,12229.35746,1,8.115,0.28
1134.73264,12229.35746,1,8.196,0.281
1134.73264,12229.35746,1,8.236,0.283
1134.73264,12229.35746,1,8.236,0.285
1134.73264,12229.35746,1,8.303,0.287
1134.73264,12229.35746,1,8.37,0.288
1134.73264,12229.35746,1,8.249,0.291
1134.73264,12229.35746,1,8.263,0.291
1134.73264,12229.35746,1,8.169,0.294
1134.73264,12229.35746,1,8.062,0.296
