Latitude,Longitude,Comment,G&G-DO
1134.73264,12229.35746,1,5.703
1134.73264,12229.35746,1,5.704
1134.73264,12229.35746,1,5.706
1134.73264,12229.35746,1,5.702
1134.73264,12229.35746,1,5.704
1134.73264,12229.35746,1,5.701
1134.73264,12229.35746,1,5.701
1134.73264,12229.35746,1,5.705
1134.73264,12229.35746,1,5.703
1134.73264,12229.35746,1,5.703
1134.73264,12229.35746,1,5.705
1134.73264,12229.35746,1,5.708
1134.73264,12229.35746,1,5.704
1134.73264,12229.35746,1,5.708
1134.73264,12229.35746,1,5.704
1134.73264,12229.35746,1,5.703
1134.73264,12229.35746,1,5.705
1134.73264,12229.35746,1,5.705
1134.73264,12229.35746,1,5.707
1134.73264,12229.35746,1,5.707
1134.73264,12229.35746,1,5.709
1134.73264,12229.35746,1,5.71
1134.73264,12229.35746,1,5.708
1134.73264,12229.35746,1,5.709
1134.73264,12229.35746,1,5.707
1134.73264,12229.35746,1,5.705
1134.73264,12229.35746,1,5.712
1134.73264,12229.35746,1,5.711
1134.73264,12229.35746,1,5.708
1134.73264,12229.35746,1,5.71
1134.73264,12229.35746,1,5.708
1134.73264,12229.35746,1,5.708
1134.73264,12229.35746,1,5.707
1134.73264,12229.35746,1,5.707
1134.73264,12229.35746,1,5.708
1134.73264,12229.35746,1,5.708
1134.73264,12229.35746,1,5.703
1134.73264,12229.35746,1,5.707
1134.73264,12229.35746,1,5.704
1134.73264,12229.35746,1,5.705
1134.73264,12229.35746,1,5.71
1134.73264,12229.35746,1,5.712
1134.73264,12229.35746,1,5.717
1134.73264,12229.35746,1,5.71
1134.73264,12229.35746,1,5.708
1134.73264,12229.35746,1,5.709
1134.73264,12229.35746,1,5.707
1134.73264,12229.35746,1,5.709
1134.73264,12229.35746,1,5.708
1134.73264,12229.35746,1,5.708
1134.73264,12229.35746,1,5.714
1134.73264,12229.35746,1,5.713
1134.73264,12229.35746,1,5.717
1134.73264,12229.35746,1,5.715
1134.73264,12229.35746,1,5.708
1134.73264,12229.35746,1,5.71
1134.73264,12229.35746,1,5.713
1134.73264,12229.35746,1,5.71
