Latitude,Longitude,Comment,Temp. [degC],Depth [m]
1134.73264,12229.35746,1,30.166,0.302
1134.73264,12229.35746,1,30.165,0.302
1134.73264,12229.35746,1,30.164,0.304
1134.73264,12229.35746,1,30.164,0.306
1134.73264,12229.35746,1,30.164,0.307
1134.73264,12229.35746,1,30.165,0.31
1134.73264,12229.35746,1,30.164,0.311
1134.73264,12229.35746,1,30.165,0.311
1134.73264,12229.35746,1,30.166,0.314
1134.73264,12229.35746,1,30.167,0.314
1134.73264,12229.35746,1,30.166,0.316
1134.73264,12229.35746,1,30.167,0.319
1134.73264,12229.35746,1,30.167,0.32
1134.73264,12229.35746,1,30.168,0.324
1134.73264,12229.35746,1,30.167,0.327
1134.73264,12229.35746,1,30.168,0.328
1134.73264,12229.35746,1,30.168,0.331
1134.73264,12229.35746,1,30.169,0.333
1134.73264,12229.35746,1,30.168,0.334
1134.73264,12229.35746,1,30.168,0.336
1134.73264,12229.35746,1,30.168,0.336
1134.73264,12229.35746,1,30.168,0.338
1134.73264,12229.35746,1,30.168,0.337
1134.73264,12229.35746,1,30.168,0.338
1134.73264,12229.35746,1,30.169,0.339
1134.73264,12229.35746,1,30.17,0.337
1134.73264,12229.35746,1,30.171,0.338
1134.73264,12229.35746,1,30.171,0.337
1134.73264,12229.35746,1,30.171,0.336
1134.73264,12229.35746,1,30.171,0.336
1134.73264,12229.35746,1,30.171,0.335
1134.73264,12229.35746,1,30.171,0.336
1134.73264,12229.35746,1,30.171,0.338
1134.73264,12229.35746,1,30.171,0.339
1134.73264,12229.35746,1,30.171,0.341
1134.73264,12229.35746,1,30.171,0.344
1134.73264,12229.35746,1,30.171,0.344
1134.73264,12229.35746,1,30.171,0.346
1134.73264,12229.35746,1,30.172,0.346
1134.73264,12229.35746,1,30.173,0.348
1134.73264,12229.35746,1,30.173,0.349
1134.73264,12229.35746,1,30.174,0.349
1134.73264,12229.35746,1,30.173,0.351
1134.73264,12229.35746,1,30.173,0.352
1134.73264,12229.35746,1,30.174,0.352
1134.73264,12229.35746,1,30.174,0.355
1134.73264,12229.35746,1,30.173,0.357
1134.73264,12229.35746,1,30.173,0.359
1134.73264,12229.35746,1,30.173,0.359
1134.73264,12229.35746,1,30.173,0.362
1134.73264,12229.35746,1,30.173,0.363
1134.73264,12229.35746,1,30.173,0.366
1134.73264,12229.35746,1,30.173,0.368
1134.73264,12229.35746,1,30.173,0.37
1134.73264,12229.35746,1,30.173,0.374
1134.73264,12229.35746,1,30.172,0.376
1134.73264,12229.35746,1,30.173,0.378
1134.73264,12229.35746,1,30.174,0.38
1134.73264,12229.35746,1,30.173,0.38
1134.73264,12229.35746,1,30.174,0.381
1134.73264,12229.35746,1,30.174,0.383
1134.73264,12229.35746,1,30.175,0.381
1134.73264,12229.35746,1,30.175,0.384
1134.73264,12229.35746,1,30.176,0.385
1134.73264,12229.35746,1,30.177,0.386
1134.73264,12229.35746,1,30.177,0.388
1134.73264,12229.35746,1,30.177,0.39
1134.73264,12229.35746,1,30.177,0.392
1134.73264,12229.35746,1,30.177,0.396
1134.73264,12229.35746,1,30.176,0.398
1134.73264,12229.35746,1,30.177,0.401
1134.73264,12229.35746,1,30.176,0.404
1134.73264,12229.35746,1,30.177,0.405
1134.73264,12229.35746,1,30.176,0.406
1134.73264,12229.35746,1,30.176,0.407
1134.73264,12229.35746,1,30.177,0.409
1134.73264,12229.35746,1,30.176,0.412
1134.73264,12229.35746,1,30.177,0.415
1134.73264,12229.35746,1,30.177,0.418
1134.73264,12229.35746,1,30.176,0.422
1134.73264,12229.35746,1,30.177,0.424
1134.73264,12229.35746,1,30.177,0.426
1134.73264,12229.35746,1,30.177,0.428
1134.73264,12229.35746,1,30.177,0.429
1134.73264,12229.35746,1,30.178,0.428
1134.73264,12229.35746,1,30.177,0.427
1134.73264,12229.35746,1,30.177,0.428
1134.73264,12229.35746,1,30.178,0.429
1134.73264,12229.35746,1,30.178,0.429
1134.73264,12229.35746,1,30.178,0.429
1134.73264,12229.35746,1,30.177,0.431
1134.73264,12229.35746,1,30.178,0.434
1134.73264,12229.35746,1,30.178,0.438
1134.73264,12229.35746,1,30.177,0.44
1134.73264,12229.35746,1,30.177,0.444
1134.73264,12229.35746,1,30.178,0.449
1134.73264,12229.35746,1,30.177,0.451
1134.73264,12229.35746,1,30.176,0.454
1134.73264,12229.35746,1,30.176,0.459
1134.73264,12229.35746,1,30.175,0.462
1134.73264,12229.35746,1,30.176,0.464
1134.73264,12229.35746,1,30.176,0.465
1134.73264,12229.35746,1,30.175,0.469
1134.73264,12229.35746,1,30.175,0.472
1134.73264,12229.35746,1,30.174,0.474
1134.73264,12229.35746,1,30.175,0.478
1134.73264,12229.35746,1,30.174,0.482
1134.73264,12229.35746,1,30.175,0.485
1134.73264,12229.35746,1,30.175,0.485
1134.73264,12229.35746,1,30.174,0.487
1134.73264,12229.35746,1,30.175,0.488
1134.73264,12229.35746,1,30.175,0.489
1134.73264,12229.35746,1,30.176,0.489
1134.73264,12229.35746,1,30.176,0.49
1134.73264,12229.35746,1,30.176,0.492
1134.73264,12229.35746,1,30.176,0.495
1134.73264,12229.35746,1,30.176,0.497
1134.73264,12229.35746,1,30.175,0.506
1134.73264,12229.35746,1,30.175,0.513
1134.73264,12229.35746,1,30.175,0.519
1134.73264,12229.35746,1,30.176,0.526
1134.73264,12229.35746,1,30.177,0.531
1134.73264,12229.35746,1,30.176,0.534
1134.73264,12229.35746,1,30.177,0.538
1134.73264,12229.35746,1,30.177,0.541
1134.73264,12229.35746,1,30.177,0.546
1134.73264,12229.35746,1,30.177,0.552
1134.73264,12229.35746,1,30.18,0.556
1134.73264,12229.35746,1,30.182,0.56
1134.73264,12229.35746,1,30.182,0.562
1134.73264,12229.35746,1,30.181,0.564
1134.73264,12229.35746,1,30.18,0.566
1134.73264,12229.35746,1,30.182,0.568
1134.73264,12229.35746,1,30.185,0.571
1134.73264,12229.35746,1,30.188,0.574
1134.73264,12229.35746,1,30.191,0.575
1134.73264,12229.35746,1,30.191,0.579
1134.73264,12229.35746,1,30.19,0.58
1134.73264,12229.35746,1,30.187,0.581
1134.73264,12229.35746,1,30.186,0.583
1134.73264,12229.35746,1,30.187,0.582
1134.73264,12229.35746,1,30.185,0.585
1134.73264,12229.35746,1,30.185,0.588
1134.73264,12229.35746,1,30.185,0.589
1134.73264,12229.35746,1,30.187,0.594
1134.73264,12229.35746,1,30.189,0.597
1134.73264,12229.35746,1,30.193,0.6
1134.73264,12229.35746,1,30.194,0.603
1134.73264,12229.35746,1,30.197,0.603
1134.73264,12229.35746,1,30.198,0.606
1134.73264,12229.35746,1,30.199,0.608
1134.73264,12229.35746,1,30.2,0.61
1134.73264,12229.35746,1,30.201,0.613
1134.73264,12229.35746,1,30.202,0.614
1134.73264,12229.35746,1,30.202,0.615
1134.73264,12229.35746,1,30.201,0.617
1134.73264,12229.35746,1,30.2,0.62
1134.73264,12229.35746,1,30.199,0.626
1134.73264,12229.35746,1,30.199,0.629
1134.73264,12229.35746,1,30.197,0.632
1134.73264,12229.35746,1,30.196,0.634
1134.73264,12229.35746,1,30.196,0.633
1134.73264,12229.35746,1,30.195,0.633
1134.73264,12229.35746,1,30.196,0.632
1134.73264,12229.35746,1,30.197,0.632
1134.73264,12229.35746,1,30.197,0.635
1134.73264,12229.35746,1,30.196,0.64
1134.73264,12229.35746,1,30.196,0.64
1134.73264,12229.35746,1,30.197,0.646
1134.73264,12229.35746,1,30.199,0.655
1134.73264,12229.35746,1,30.199,0.664
1134.73264,12229.35746,1,30.203,0.674
1134.73264,12229.35746,1,30.205,0.68
1134.73264,12229.35746,1,30.209,0.684
1134.73264,12229.35746,1,30.211,0.686
1134.73264,12229.35746,1,30.212,0.687
1134.73264,12229.35746,1,30.213,0.685
1134.73264,12229.35746,1,30.214,0.685
1134.73264,12229.35746,1,30.214,0.687
1134.73264,12229.35746,1,30.214,0.688
1134.73264,12229.35746,1,30.213,0.691
1134.73264,12229.35746,1,30.213,0.694
1134.73264,12229.35746,1,30.213,0.701
1134.73264,12229.35746,1,30.214,0.705
1134.73264,12229.35746,1,30.216,0.707
1134.73264,12229.35746,1,30.218,0.708
1134.73264,12229.35746,1,30.219,0.709
1134.73264,12229.35746,1,30.219,0.709
1134.73264,12229.35746,1,30.219,0.711
1134.73264,12229.35746,1,30.219,0.712
1134.73264,12229.35746,1,30.218,0.715
1134.73264,12229.35746,1,30.218,0.719
1134.73264,12229.35746,1,30.217,0.723
1134.73264,12229.35746,1,30.216,0.726
1134.73264,12229.35746,1,30.215,0.729
1134.73264,12229.35746,1,30.215,0.73
1134.73264,12229.35746,1,30.215,0.736
1134.73264,12229.35746,1,30.216,0.74
1134.73264,12229.35746,1,30.216,0.743
1134.73264,12229.35746,1,30.216,0.746
1134.73264,12229.35746,1,30.215,0.745
1134.73264,12229.35746,1,30.215,0.746
1134.73264,12229.35746,1,30.215,0.746
1134.73264,12229.35746,1,30.217,0.744
1134.73264,12229.35746,1,30.219,0.744
1134.73264,12229.35746,1,30.22,0.745
1134.73264,12229.35746,1,30.22,0.746
1134.73264,12229.35746,1,30.221,0.751
1134.73264,12229.35746,1,30.22,0.753
1134.73264,12229.35746,1,30.222,0.756
1134.73264,12229.35746,1,30.222,0.759
1134.73264,12229.35746,1,30.222,0.762
1134.73264,12229.35746,1,30.224,0.766
1134.73264,12229.35746,1,30.227,0.771
1134.73264,12229.35746,1,30.231,0.773
1134.73264,12229.35746,1,30.233,0.776
1134.73264,12229.35746,1,30.234,0.777
1134.73264,12229.35746,1,30.234,0.779
1134.73264,12229.35746,1,30.235,0.78
1134.73264,12229.35746,1,30.236,0.78
1134.73264,12229.35746,1,30.235,0.783
1134.73264,12229.35746,1,30.234,0.787
1134.73264,12229.35746,1,30.235,0.792
1134.73264,12229.35746,1,30.235,0.798
1134.73264,12229.35746,1,30.236,0.804
1134.73264,12229.35746,1,30.237,0.812
1134.73264,12229.35746,1,30.237,0.812
1134.73264,12229.35746,1,30.238,0.818
1134.73264,12229.35746,1,30.24,0.821
1134.73264,12229.35746,1,30.241,0.826
1134.73264,12229.35746,1,30.242,0.827
1134.73264,12229.35746,1,30.243,0.828
1134.73264,12229.35746,1,30.242,0.833
1134.73264,12229.35746,1,30.242,0.835
1134.73264,12229.35746,1,30.242,0.836
1134.73264,12229.35746,1,30.242,0.841
1134.73264,12229.35746,1,30.242,0.843
1134.73264,12229.35746,1,30.243,0.844
1134.73264,12229.35746,1,30.243,0.846
1134.73264,12229.35746,1,30.243,0.847
1134.73264,12229.35746,1,30.242,0.849
1134.73264,12229.35746,1,30.243,0.85
1134.73264,12229.35746,1,30.243,0.851
1134.73264,12229.35746,1,30.244,0.854
1134.73264,12229.35746,1,30.248,0.855
1134.73264,12229.35746,1,30.254,0.857
1134.73264,12229.35746,1,30.258,0.859
1134.73264,12229.35746,1,30.261,0.859
1134.73264,12229.35746,1,30.262,0.86
1134.73264,12229.35746,1,30.262,0.861
1134.73264,12229.35746,1,30.265,0.86
1134.73264,12229.35746,1,30.266,0.861
1134.73264,12229.35746,1,30.271,0.861
1134.73264,12229.35746,1,30.276,0.863
1134.73264,12229.35746,1,30.28,0.866
1134.73264,12229.35746,1,30.282,0.869
1134.73264,12229.35746,1,30.285,0.872
1134.73264,12229.35746,1,30.285,0.876
1134.73264,12229.35746,1,30.297,0.878
1134.73264,12229.35746,1,30.318,0.884
1134.73264,12229.35746,1,30.349,0.891
1134.73264,12229.35746,1,30.383,0.898
1134.73264,12229.35746,1,30.417,0.905
1134.73264,12229.35746,1,30.436,0.912
1134.73264,12229.35746,1,30.443,0.918
1134.73264,12229.35746,1,30.459,0.925
