Latitude,Longitude,Comment,G&G-DO,Depth [m]
1134.73264,12229.35746,1,5.721,0.608
1134.73264,12229.35746,1,5.72,0.61
1134.73264,12229.35746,1,5.72,0.613
1134.73264,12229.35746,1,5.719,0.614
1134.73264,12229.35746,1,5.721,0.615
1134.73264,12229.35746,1,5.723,0.617
1134.73264,12229.35746,1,5.724,0.62
1134.73264,12229.35746,1,5.726,0.626
1134.73264,12229.35746,1,5.726,0.629
1134.73264,12229.35746,1,5.725,0.632
1134.73264,12229.35746,1,5.725,0.634
1134.73264,12229.35746,1,5.731,0.633
1134.73264,12229.35746,1,5.734,0.633
1134.73264,12229.35746,1,5.735,0.632
1134.73264,12229.35746,1,5.732,0.632
1134.73264,12229.35746,1,5.736,0.635
1134.73264,12229.35746,1,5.737,0.64
1134.73264,12229.35746,1,5.737,0.64
1134.73264,12229.35746,1,5.732,0.646
1134.73264,12229.35746,1,5.724,0.655
1134.73264,12229.35746,1,5.722,0.664
1134.73264,12229.35746,1,5.724,0.674
1134.73264,12229.35746,1,5.727,0.68
1134.73264,12229.35746,1,5.725,0.684
1134.73264,12229.35746,1,5.728,0.686
1134.73264,12229.35746,1,5.729,0.687
1134.73264,12229.35746,1,5.737,0.685
1134.73264,12229.35746,1,5.736,0.685
1134.73264,12229.35746,1,5.737,0.687
1134.73264,12229.35746,1,5.741,0.688
1134.73264,12229.35746,1,5.739,0.691
1134.73264,12229.35746,1,5.737,0.694
1134.73264,12229.35746,1,5.742,0.701
1134.73264,12229.35746,1,5.741,0.705
1134.73264,12229.35746,1,5.745,0.707
1134.73264,12229.35746,1,5.746,0.708
1134.73264,12229.35746,1,5.749,0.709
1134.73264,12229.35746,1,5.749,0.709
1134.73264,12229.35746,1,5.748,0.711
1134.73264,12229.35746,1,5.748,0.712
1134.73264,12229.35746,1,5.756,0.715
1134.73264,12229.35746,1,5.754,0.719
1134.73264,12229.35746,1,5.758,0.723
1134.73264,12229.35746,1,5.759,0.726
1134.73264,12229.35746,1,5.758,0.729
1134.73264,12229.35746,1,5.761,0.73
1134.73264,12229.35746,1,5.767,0.736
1134.73264,12229.35746,1,5.763,0.74
1134.73264,12229.35746,1,5.766,0.743
1134.73264,12229.35746,1,5.768,0.746
1134.73264,12229.35746,1,5.764,0.745
1134.73264,12229.35746,1,5.767,0.746
1134.73264,12229.35746,1,5.766,0.746
1134.73264,12229.35746,1,5.768,0.744
1134.73264,12229.35746,1,5.767,0.744
1134.73264,12229.35746,1,5.766,0.745
1134.73264,12229.35746,1,5.768,0.746
1134.73264,12229.35746,1,5.771,0.751
1134.73264,12229.35746,1,5.77,0.753
1134.73264,12229.35746,1,5.77,0.756
1134.73264,12229.35746,1,5.771,0.759
1134.73264,12229.35746,1,5.771,0.762
1134.73264,12229.35746,1,5.771,0.766
1134.73264,12229.35746,1,5.772,0.771
1134.73264,12229.35746,1,5.773,0.773
1134.73264,12229.35746,1,5.776,0.776
1134.73264,12229.35746,1,5.777,0.777
1134.73264,12229.35746,1,5.778,0.779
1134.73264,12229.35746,1,5.778,0.78
1134.73264,12229.35746,1,5.78,0.78
1134.73264,12229.35746,1,5.78,0.783
1134.73264,12229.35746,1,5.785,0.787
1134.73264,12229.35746,1,5.789,0.792
1134.73264,12229.35746,1,5.788,0.798
1134.73264,12229.35746,1,5.788,0.804
1134.73264,12229.35746,1,5.787,0.812
1134.73264,12229.35746,1,5.787,0.812
1134.73264,12229.35746,1,5.789,0.818
1134.73264,12229.35746,1,5.787,0.821
1134.73264,12229.35746,1,5.788,0.826
1134.73264,12229.35746,1,5.788,0.827
1134.73264,12229.35746,1,5.793,0.828
1134.73264,12229.35746,1,5.794,0.833
1134.73264,12229.35746,1,5.79,0.835
1134.73264,12229.35746,1,5.792,0.836
1134.73264,12229.35746,1,5.797,0.841
1134.73264,12229.35746,1,5.795,0.843
1134.73264,12229.35746,1,5.798,0.844
1134.73264,12229.35746,1,5.797,0.846
1134.73264,12229.35746,1,5.797,0.847
1134.73264,12229.35746,1,5.799,0.849
1134.73264,12229.35746,1,5.8,0.85
1134.73264,12229.35746,1,5.806,0.851
1134.73264,12229.35746,1,5.807,0.854
1134.73264,12229.35746,1,5.801,0.855
1134.73264,12229.35746,1,5.808,0.857
1134.73264,12229.35746,1,5.805,0.859
1134.73264,12229.35746,1,5.806,0.859
1134.73264,12229.35746,1,5.808,0.86
1134.73264,12229.35746,1,5.803,0.861
1134.73264,12229.35746,1,5.808,0.86
1134.73264,12229.35746,1,5.812,0.861
1134.73264,12229.35746,1,5.812,0.861
1134.73264,12229.35746,1,5.819,0.863
1134.73264,12229.35746,1,5.819,0.866
1134.73264,12229.35746,1,5.818,0.869
1134.73264,12229.35746,1,5.82,0.872
