Latitude,Longitude,Comment,Chl-a [µg/l],Depth [m]
1134.73264,12229.35746,1,3.492,0.302
1134.73264,12229.35746,1,3.471,0.304
1134.73264,12229.35746,1,3.464,0.306
1134.73264,12229.35746,1,3.371,0.307
1134.73264,12229.35746,1,3.343,0.31
1134.73264,12229.35746,1,3.414,0.311
1134.73264,12229.35746,1,3.435,0.311
1134.73264,12229.35746,1,3.492,0.314
1134.73264,12229.35746,1,3.492,0.314
1134.73264,12229.35746,1,3.385,0.316
1134.73264,12229.35746,1,3.35,0.319
1134.73264,12229.35746,1,3.35,0.32
1134.73264,12229.35746,1,3.393,0.324
1134.73264,12229.35746,1,3.428,0.327
1134.73264,12229.35746,1,3.393,0.328
1134.73264,12229.35746,1,3.364,0.331
1134.73264,12229.35746,1,3.385,0.333
1134.73264,12229.35746,1,3.557,0.334
1134.73264,12229.35746,1,3.628,0.336
1134.73264,12229.35746,1,3.592,0.336
1134.73264,12229.35746,1,3.549,0.338
1134.73264,12229.35746,1,3.656,0.337
1134.73264,12229.35746,1,3.678,0.338
1134.73264,12229.35746,1,3.628,0.339
1134.73264,12229.35746,1,3.671,0.337
1134.73264,12229.35746,1,3.656,0.338
1134.73264,12229.35746,1,3.728,0.337
1134.73264,12229.35746,1,3.713,0.336
1134.73264,12229.35746,1,3.642,0.336
1134.73264,12229.35746,1,3.735,0.335
1134.73264,12229.35746,1,3.792,0.336
1134.73264,12229.35746,1,3.621,0.338
1134.73264,12229.35746,1,3.656,0.339
1134.73264,12229.35746,1,3.778,0.341
1134.73264,12229.35746,1,3.728,0.344
1134.73264,12229.35746,1,3.728,0.344
1134.73264,12229.35746,1,3.635,0.346
1134.73264,12229.35746,1,3.606,0.346
1134.73264,12229.35746,1,3.592,0.348
1134.73264,12229.35746,1,3.585,0.349
1134.73264,12229.35746,1,3.564,0.349
1134.73264,12229.35746,1,3.585,0.351
1134.73264,12229.35746,1,3.535,0.352
1134.73264,12229.35746,1,3.514,0.352
1134.73264,12229.35746,1,3.535,0.355
1134.73264,12229.35746,1,3.393,0.357
1134.73264,12229.35746,1,3.464,0.359
1134.73264,12229.35746,1,3.464,0.359
1134.73264,12229.35746,1,3.421,0.362
1134.73264,12229.35746,1,3.314,0.363
1134.73264,12229.35746,1,3.35,0.366
1134.73264,12229.35746,1,3.414,0.368
1134.73264,12229.35746,1,3.45,0.37
1134.73264,12229.35746,1,3.528,0.374
1134.73264,12229.35746,1,3.713,0.376
1134.73264,12229.35746,1,3.72,0.378
1134.73264,12229.35746,1,3.713,0.38
1134.73264,12229.35746,1,3.521,0.38
1134.73264,12229.35746,1,3.45,0.381
1134.73264,12229.35746,1,3.507,0.383
1134.73264,12229.35746,1,3.77,0.381
1134.73264,12229.35746,1,3.606,0.384
1134.73264,12229.35746,1,3.471,0.385
1134.73264,12229.35746,1,3.621,0.386
1134.73264,12229.35746,1,3.678,0.388
1134.73264,12229.35746,1,3.585,0.39
1134.73264,12229.35746,1,3.571,0.392
1134.73264,12229.35746,1,3.393,0.396
1134.73264,12229.35746,1,3.293,0.398
1134.73264,12229.35746,1,3.286,0.401
1134.73264,12229.35746,1,3.393,0.404
1134.73264,12229.35746,1,3.435,0.405
1134.73264,12229.35746,1,3.4,0.406
1134.73264,12229.35746,1,3.4,0.407
1134.73264,12229.35746,1,3.428,0.409
1134.73264,12229.35746,1,3.557,0.412
1134.73264,12229.35746,1,3.606,0.415
1134.73264,12229.35746,1,3.692,0.418
1134.73264,12229.35746,1,3.77,0.422
1134.73264,12229.35746,1,3.728,0.424
1134.73264,12229.35746,1,3.663,0.426
1134.73264,12229.35746,1,3.863,0.428
1134.73264,12229.35746,1,3.856,0.429
1134.73264,12229.35746,1,3.742,0.428
1134.73264,12229.35746,1,3.642,0.427
1134.73264,12229.35746,1,3.578,0.428
1134.73264,12229.35746,1,3.585,0.429
1134.73264,12229.35746,1,3.585,0.429
1134.73264,12229.35746,1,3.628,0.429
1134.73264,12229.35746,1,3.635,0.431
1134.73264,12229.35746,1,3.671,0.434
1134.73264,12229.35746,1,3.642,0.438
1134.73264,12229.35746,1,3.671,0.44
1134.73264,12229.35746,1,3.692,0.444
1134.73264,12229.35746,1,3.599,0.449
1134.73264,12229.35746,1,3.671,0.451
1134.73264,12229.35746,1,3.806,0.454
1134.73264,12229.35746,1,3.635,0.459
1134.73264,12229.35746,1,3.592,0.462
1134.73264,12229.35746,1,3.863,0.464
1134.73264,12229.35746,1,3.82,0.465
1134.73264,12229.35746,1,3.656,0.469
1134.73264,12229.35746,1,3.549,0.472
1134.73264,12229.35746,1,3.578,0.474
1134.73264,12229.35746,1,3.671,0.478
1134.73264,12229.35746,1,3.877,0.482
1134.73264,12229.35746,1,4.006,0.485
1134.73264,12229.35746,1,4.006,0.485
1134.73264,12229.35746,1,3.892,0.487
1134.73264,12229.35746,1,3.827,0.488
1134.73264,12229.35746,1,3.72,0.489
1134.73264,12229.35746,1,3.628,0.489
1134.73264,12229.35746,1,3.827,0.49
