Latitude,Longitude,Comment,Sal.,Depth [m]
1134.73264,12229.35746,1,23.161,0.123
1134.73264,12229.35746,1,23.258,0.13
1134.73264,12229.35746,1,23.402,0.135
1134.73264,12229.35746,1,23.486,0.139
1134.73264,12229.35746,1,23.429,0.141
1134.73264,12229.35746,1,23.433,0.138
1134.73264,12229.35746,1,23.423,0.139
1134.73264,12229.35746,1,23.405,0.138
1134.73264,12229.35746,1,23.399,0.138
1134.73264,12229.35746,1,23.427,0.14
1134.73264,12229.35746,1,23.486,0.14
1134.73264,12229.35746,1,23.543,0.142
1134.73264,12229.35746,1,23.662,0.145
1134.73264,12229.35746,1,23.788,0.146
1134.73264,12229.35746,1,23.92,0.149
1134.73264,12229.35746,1,24.008,0.149
1134.73264,12229.35746,1,23.992,0.15
1134.73264,12229.35746,1,24.045,0.15
1134.73264,12229.35746,1,24.095,0.151
1134.73264,12229.35746,1,24.133,0.154
1134.73264,12229.35746,1,24.166,0.159
1134.73264,12229.35746,1,24.168,0.164
1134.73264,12229.35746,1,24.189,0.168
1134.73264,12229.35746,1,24.193,0.172
1134.73264,12229.35746,1,24.193,0.174
1134.73264,12229.35746,1,24.191,0.175
1134.73264,12229.35746,1,24.199,0.175
1134.73264,12229.35746,1,24.219,0.177
1134.73264,12229.35746,1,24.243,0.179
1134.73264,12229.35746,1,24.257,0.182
1134.73264,12229.35746,1,24.285,0.188
1134.73264,12229.35746,1,24.308,0.191
1134.73264,12229.35746,1,24.319,0.194
1134.73264,12229.35746,1,24.336,0.196
1134.73264,12229.35746,1,24.359,0.197
1134.73264,12229.35746,1,24.392,0.201
1134.73264,12229.35746,1,24.432,0.205
1134.73264,12229.35746,1,24.432,0.205
1134.73264,12229.35746,1,24.507,0.208
1134.73264,12229.35746,1,24.509,0.212
1134.73264,12229.35746,1,24.554,0.216
1134.73264,12229.35746,1,24.55,0.217
1134.73264,12229.35746,1,24.561,0.22
1134.73264,12229.35746,1,24.584,0.221
1134.73264,12229.35746,1,24.597,0.222
1134.73264,12229.35746,1,24.607,0.226
1134.73264,12229.35746,1,24.624,0.227
1134.73264,12229.35746,1,24.632,0.23
1134.73264,12229.35746,1,24.644,0.233
1134.73264,12229.35746,1,24.642,0.235
1134.73264,12229.35746,1,24.631,0.238
1134.73264,12229.35746,1,24.628,0.24
1134.73264,12229.35746,1,24.647,0.242
1134.73264,12229.35746,1,24.673,0.246
1134.73264,12229.35746,1,24.683,0.249
1134.73264,12229.35746,1,24.679,0.252
1134.73264,12229.35746,1,24.686,0.254
1134.73264,12229.35746,1,24.693,0.256
1134.73264,12229.35746,1,24.69,0.258
1134.73264,12229.35746,1,24.707,0.26
1134.73264,12229.35746,1,24.71,0.26
1134.73264,12229.35746,1,24.706,0.261
1134.73264,12229.35746,1,24.706,0.26
1134.73264,12229.35746,1,24.717,0.26
1134.73264,12229.35746,1,24.722,0.259
1134.73264,12229.35746,1,24.721,0.257
1134.73264,12229.35746,1,24.726,0.256
1134.73264,12229.35746,1,24.729,0.257
1134.73264,12229.35746,1,24.736,0.257
1134.73264,12229.35746,1,24.74,0.258
1134.73264,12229.35746,1,24.746,0.26
1134.73264,12229.35746,1,24.748,0.263
1134.73264,12229.35746,1,24.754,0.266
1134.73264,12229.35746,1,24.756,0.267
1134.73264,12229.35746,1,24.764,0.27
1134.73264,12229.35746,1,24.77,0.272
1134.73264,12229.35746,1,24.766,0.273
1134.73264,12229.35746,1,24.779,0.275
1134.73264,12229.35746,1,24.778,0.275
1134.73264,12229.35746,1,24.777,0.276
1134.73264,12229.35746,1,24.776,0.278
1134.73264,12229.35746,1,24.777,0.278
1134.73264,12229.35746,1,24.782,0.28
1134.73264,12229.35746,1,24.785,0.281
1134.73264,12229.35746,1,24.787,0.283
1134.73264,12229.35746,1,24.789,0.285
1134.73264,12229.35746,1,24.793,0.287
1134.73264,12229.35746,1,24.796,0.288
1134.73264,12229.35746,1,24.797,0.291
1134.73264,12229.35746,1,24.796,0.291
1134.73264,12229.35746,1,24.799,0.294
1134.73264,12229.35746,1,24.807,0.296
1134.73264,12229.35746,1,24.812,0.296
1134.73264,12229.35746,1,24.814,0.297
1134.73264,12229.35746,1,24.816,0.297
1134.73264,12229.35746,1,24.816,0.297
1134.73264,12229.35746,1,24.816,0.297
1134.73264,12229.35746,1,24.817,0.296
1134.73264,12229.35746,1,24.817,0.295
1134.73264,12229.35746,1,24.818,0.295
1134.73264,12229.35746,1,24.818,0.296
1134.73264,12229.35746,1,24.824,0.297
1134.73264,12229.35746,1,24.825,0.298
1134.73264,12229.35746,1,24.818,0.298
1134.73264,12229.35746,1,24.819,0.299
1134.73264,12229.35746,1,24.825,0.3
1134.73264,12229.35746,1,24.825,0.3
1134.73264,12229.35746,1,24.818,0.302
1134.73264,12229.35746,1,24.824,0.302
